"","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","Dollar_val","sub_len_mnth","cluster"
"20308","EBR","Lifetime","INITIAL_PURCHASE","Web",149,"EUR","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,177.31,1027.39285714286,4
"35740","ITA","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,6.5,3
"15302","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","Other","Other","Unknown","No","No",3,0,0,0,0,199,1027.42857142857,4
"20905","ENG","Limited","INITIAL_PURCHASE","Web",20.87,"EUR","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,24.8353,5.25,4
"28205","ESP","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",1,0,0,0,0,0,13.0714285714286,2
"22558","CHI","Limited","INITIAL_PURCHASE","Web",53.4,"EUR","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,63.546,6.53571428571429,4
"27005","ENG","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",14,0,0,0,0,0,3.21428571428571,2
"18098","FRA","Limited","RENEWAL","Web",35.97,"USD","No","No","On","Other","Other","Unknown","No","No",7,3,0,1,0,35.97,6.53571428571429,4
"2654","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","Yes","No","Off","US/Canada","Consumer","Web","Yes","Yes",155,34,1,31,1,199,1028.07142857143,5
"32761","FRA","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,3.25,2
"15088","ALL","Lifetime","INITIAL_PURCHASE","Web",189,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,189,1028.71428571429,4
"24847","NED","Limited","INITIAL_PURCHASE","Web",29.4,"GBP","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,38.808,3.28571428571429,4
"25540","ESP","Limited","INITIAL_PURCHASE","App",49990000,"USD","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",11,0,0,0,0,49.99,3.25,3
"20788","ESP","Limited","INITIAL_PURCHASE","Web",95.6,"EUR","No","No","Off","Europe","Consumer","Web","No","Yes",10,10,3,3,1,113.764,26.0714285714286,1
"9108","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","On","US/Canada","Consumer","Web","Yes","Yes",191,36,0,32,0,0,13.0357142857143,5
"13133","CHI","Limited","INITIAL_PURCHASE","Web",69.9,"USD","No","No","On","US/Canada","Consumer","Web","Yes","Yes",4,0,0,0,0,69.9,6.53571428571429,5
"33198","ESP","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",1,0,0,0,0,0,9.78571428571428,2
"21344","FRA","Limited","INITIAL_PURCHASE","Web",13.82,"EUR","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,16.4458,26.1071428571429,4
"4638","FRA","Limited","RENEWAL","Web",119,"USD","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",4,0,0,0,0,119,13.0714285714286,5
