Language,Subscription.Type,Subscription.Event.Type,Purchase.Store,Purchase.Amount,Currency,Demo.User,Free.Trial.User,Auto.Renew,Country,User.Type,Lead.Platform,Email.Subscriber,Push.Notifications,Send.Count,Open.Count,Click.Count,Unique.Open.Count,Unique.Click.Count,Dollar_val,sub_len_mnth,cluster
JPN,Limited,INITIAL_PURCHASE,Web,41.46,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,14,1,1,1,1,41.46,3.25,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,48,0,0,0,0,0,6.5,2
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,6,6,4,4,2,0,13.03571429,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,Yes,No,Off,Other,Consumer,Web,No,Yes,12,12,2,6,1,199,1028.285714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,29,10,6,4,2,189,1028.357143,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,Yes,No,Off,US/Canada,Other,App,Yes,Yes,7,0,0,0,0,199,1028.642857,2
ENG,Limited,RENEWAL,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0,35.97,6.5,4
ESP,Limited,INITIAL_PURCHASE,Web,207.9,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,20,17,9,5,1,207.9,13.07142857,4
DEU,Limited,INITIAL_PURCHASE,Web,65.94,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,5,3,0,2,0,65.94,14.14285714,2
ITA,Limited,INITIAL_PURCHASE,Web,69.5,USD,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,131,0,0,0,0,69.5,6.821428571,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,41,2,0,2,0,0,6.535714286,4
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,6,5,0,2,0,35.97,16.35714286,4
ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,7,0,0,0,0,35.97,3.285714286,2
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,109,15,1,10,1,189,1028.75,4
ESP,Limited,INITIAL_PURCHASE,Web,39,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,24,0,0,0,0,39,7.464285714,4
RUS,Limited,RENEWAL,Web,79,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,182,33,0,3,0,79,6.535714286,4
FRA,Limited,RENEWAL,Web,119,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,5,2,0,1,0,119,19.53571429,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,Yes,No,Off,US/Canada,Consumer,App,No,Yes,,,,,,199,1027.821429,2
