Language,Subscription.Type,Subscription.Event.Type,Purchase.Store,Purchase.Amount,Currency,Demo.User,Free.Trial.User,Auto.Renew,Country,User.Type,Lead.Platform,Email.Subscriber,Push.Notifications,Send.Count,Open.Count,Click.Count,Unique.Open.Count,Unique.Click.Count,Dollar_val,sub_len_mnth,cluster
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,13.03571429,1
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,6,1,1,1,1,35.97,6.5,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,2,0,1,0,199,1027.464286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,47,0,0,0,0,0,3.214285714,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,199,1027.821429,1
ESP,Limited,RENEWAL,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,2,0,0,0,0,119,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,199,1027.892857,1
ESP,Limited,RENEWAL,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,4,1,0,1,0,119,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,199,1028.285714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,199,1027.321429,1
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,Other,Other,Unknown,No,No,5,0,0,0,0,189,1030.321429,1
ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,No,No,On,Other,Other,Unknown,No,No,11,11,8,4,1,38.34,3.285714286,1
JPN,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,54,0,0,0,0,0,3.5,4
JPN,Limited,RENEWAL,Web,119,USD,No,No,Off,Other,Other,Unknown,No,No,2,0,0,0,0,119,13.03571429,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,35.97,6.821428571,1
KOR,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,35.97,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,38.34,3.25,1
ESP,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,95.88,13.07142857,1
RUS,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,10,7,3,4,1,35.97,6.5,1
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,60,6,1,5,1,0,16.32142857,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,44,3,0,3,0,0,3.25,1
SVE,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Europe,Consumer,Web,Yes,Yes,17,0,0,0,0,0,9.75,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,199,1027.857143,1
GRK,Limited,INITIAL_PURCHASE,Web,35.97,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,4,2,1,2,1,35.97,3.285714286,2
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,146,0,0,0,0,0,13.03571429,4
FRA,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,4,4,0,2,0,79,6.535714286,1
JPN,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,7,1,1,1,1,35.97,6.5,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,,,,,,0,4.678571429,4
ESP,Lifetime,INITIAL_PURCHASE,Web,201.47,USD,No,No,Off,Other,Other,Unknown,No,No,2,2,0,1,0,201.47,1031.428571,1
FRA,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,4,2,0,1,0,35.97,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,299,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,299,1028.285714,1
FRA,Limited,INITIAL_PURCHASE,Web,43.25,USD,No,No,Off,Other,Other,Unknown,No,No,5,0,0,0,0,43.25,3.25,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,5,0,0,0,0,35.97,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,37.77,USD,No,No,On,Other,Other,Unknown,No,No,13,0,0,0,0,37.77,3.25,1
ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,Other,Other,Unknown,No,No,7,5,0,2,0,65.94,6.535714286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,1,0,0,0,0,0,26.10714286,1
ESP,Limited,INITIAL_PURCHASE,Web,69.32,USD,No,No,Off,Other,Other,Unknown,No,No,11,1,1,1,1,69.32,6.571428571,1
RUS,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,40,0,0,0,0,0,6.464285714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,7,7,0,1,0,199,1027.392857,1
FRA,Limited,INITIAL_PURCHASE,Web,338,USD,No,No,Off,US/Canada,Other,Web,No,Yes,,,,,,338,13.07142857,4
DEU,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,24,23,0,9,0,0,13.03571429,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,44,0,0,0,0,0,1.464285714,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,3.178571429,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,51,0,0,0,0,0,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Consumer,Web,Yes,Yes,8,1,0,1,0,0,3.285714286,1
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Consumer,Web,Yes,Yes,85,20,0,19,0,0,6.464285714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,3,2,0,1,0,199,1028.214286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,52,0,0,0,0,0,6.535714286,1
ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,65.94,6.535714286,1
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,63,35,1,24,1,0,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,1,0,0,0,0,0,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0,199,1028.178571,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,199,1028.428571,1
FRA,Limited,INITIAL_PURCHASE,Web,39.06,USD,No,No,On,Other,Other,Unknown,No,No,2,0,0,0,0,39.06,9.785714286,1
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,17,0,0,0,0,0,3.285714286,1
JPN,Limited,INITIAL_PURCHASE,Web,69.05,USD,No,No,On,Other,Other,Unknown,No,No,30,3,0,3,0,69.05,6.535714286,1
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,3.25,1
ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,95.88,13.03571429,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,33,5,0,5,0,0,3.285714286,1
ENG,Limited,INITIAL_PURCHASE,Web,71.79,USD,No,No,Off,Other,Other,Unknown,No,No,1,1,0,1,0,71.79,6.5,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,0,3.285714286,4
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,189,1028.785714,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,19.53571429,1
RUS,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,7,1,0,1,0,0,13.03571429,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,6,2,0,1,0,35.97,3.285714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,8,6,0,2,0,199,1027.75,1
FRA,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,4,1,0,1,0,79,6.535714286,1
ENG,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,6,6,0,2,0,79,16.25,1
ESP,Limited,INITIAL_PURCHASE,Web,124.5,USD,Yes,No,Off,Other,Other,Unknown,No,No,,,,,,124.5,1.107142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,179.1,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0,179.1,1027.392857,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,6.464285714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,212.13,USD,No,No,Off,Other,Other,Unknown,No,No,4,3,0,1,0,212.13,1027.75,1
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,3.285714286,1
ESP,Limited,RENEWAL,Web,79,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,3,3,0,3,0,79,6.607142857,4
ALL,Lifetime,INITIAL_PURCHASE,Web,211.44,USD,No,No,Off,Other,Other,Unknown,No,No,5,0,0,0,0,211.44,1027.428571,1
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,Other,Other,Unknown,No,No,5,0,0,0,0,189,1028,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,17,0,0,0,0,35.97,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,143.76,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,143.76,26.10714286,1
KOR,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,7,0,0,0,0,35.97,3.214285714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,202.51,USD,No,No,Off,Other,Other,Unknown,No,No,7,2,2,1,1,202.51,1030.321429,1
TGL,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,0,26.10714286,4
DEU,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,8,3,0,3,0,35.97,6.535714286,1
ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,95.88,13.03571429,1
ESP,Limited,INITIAL_PURCHASE,Web,29.99,USD,No,No,Off,Other,Other,Unknown,No,No,21,21,5,14,1,29.99,3.678571429,1
ESC,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,7,0,0,0,0,79,6.571428571,1
FRA,Limited,RENEWAL,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,4,0,0,0,0,119,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,17,16,15,3,2,199,1027.785714,1
ENG,Lifetime,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,1041.964286,1
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,5,4,0,3,0,35.97,6.535714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,179.1,USD,No,No,Off,Other,Other,Unknown,No,No,7,2,0,1,0,179.1,1028.214286,1
POL,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,125,1,0,1,0,0,4.285714286,2
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,6.571428571,4
KOR,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,79,9.857142857,1
ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,On,Other,Other,Unknown,No,No,4,2,0,1,0,65.94,6.535714286,1
ITA,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,7,7,0,1,0,35.97,17.82142857,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,22,0,0,0,0,0,3.285714286,4
ESP,Limited,RENEWAL,Web,119,USD,Yes,No,On,US/Canada,Consumer,Web,No,Yes,,,,,,119,19.53571429,4
HEB,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,39,0,0,0,0,0,3.285714286,1
IND,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,6.464285714,1
ENG,Limited,INITIAL_PURCHASE,Web,38.06,USD,No,No,Off,Other,Other,Unknown,No,No,7,0,0,0,0,38.06,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,40,0,0,0,0,0,3.178571429,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,199,1028.5,1
ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,No,No,On,Other,Other,Unknown,No,No,3,0,0,0,0,38.34,3.285714286,1
JPN,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,3.178571429,1
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,4,1,0,1,0,35.97,6.535714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,157,116,4,71,2,189,1028.678571,4
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,189,1028.178571,1
ESP,Limited,INITIAL_PURCHASE,Web,41.57,USD,No,No,On,Other,Other,Unknown,No,No,18,16,0,5,0,41.57,3.25,1
FRA,Limited,RENEWAL,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,2,1,0,1,0,119,19.53571429,1
ESP,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,3,0,0,0,0,79,9.964285714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,7,2,0,2,0,199,1028.714286,1
ENG,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,7,3,2,2,1,35.97,6.5,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,199,1028.357143,1
ALL,Lifetime,INITIAL_PURCHASE,Web,299,USD,No,No,Off,Other,Other,Unknown,No,No,7,1,1,1,1,299,1028.714286,1
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,12,1,0,1,0,0,13.07142857,4
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,114,19,1,13,1,189,1028.75,4
EBR,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,44,11,0,8,0,0,3.25,1
ALL,Lifetime,INITIAL_PURCHASE,Web,212.43,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,212.43,1028.5,1
CHI,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,12,0,0,0,0,0,13.03571429,1
POR,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,1,0,0,0,0,0,13.03571429,1
FRA,Limited,RENEWAL,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,6,3,3,1,1,119,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,7,4,0,2,0,199,1027.928571,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,2,0,0,0,0,199,1027.392857,1
NED,Limited,RENEWAL,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,11,9,0,3,0,119,13.07142857,1
ESP,Lifetime,INITIAL_PURCHASE,Web,198.45,USD,No,No,Off,Other,Other,Unknown,No,No,2,1,1,1,1,198.45,1031.642857,1
ITA,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,5,4,0,1,0,79,11.14285714,1
HEB,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,41,4,0,4,0,0,6.535714286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,6.928571429,1
ESP,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,8,8,0,3,0,79,13.07142857,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,26.10714286,1
CHI,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,26.10714286,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,41,0,0,0,0,0,6.464285714,4
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,27,0,0,0,0,0,3.285714286,1
HIN,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,6.571428571,1
TGL,Lifetime,INITIAL_PURCHASE,Web,204.12,USD,No,No,Off,Other,Other,Unknown,No,No,4,0,0,0,0,204.12,1030.464286,1
ENG,Limited,RENEWAL,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,9,8,0,4,0,119,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,1,0,1,0,199,1027.714286,1
RUS,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,17,0,0,0,0,0,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,37.81,USD,No,No,On,Other,Other,Unknown,No,No,7,6,0,2,0,37.81,3.285714286,1
DEU,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,13,0,0,0,0,0,3.285714286,1
FAR,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,3,2,0,1,0,35.97,6.535714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,200.81,USD,No,No,Off,Other,Other,Unknown,No,No,11,1,0,1,0,200.81,1028.714286,1
POR,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,24,0,0,0,0,0,6.464285714,4
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,3,2,0,1,0,0,13.03571429,1
ESP,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,20,8,0,4,0,79,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,7,2,0,1,0,199,1027.75,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,38,0,0,0,0,0,6.571428571,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,38,0,0,0,0,0,3.285714286,1
TGL,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,3,3,0,1,0,35.97,16.35714286,1
EBR,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,36,0,0,0,0,35.97,3.285714286,1
ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,65.94,13.07142857,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,35,1,0,1,0,0,6.464285714,1
ENG,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,8,0,0,0,0,79,6.642857143,1
ALL,Lifetime,INITIAL_PURCHASE,Web,216.66,USD,No,No,Off,Other,Other,Unknown,No,No,7,2,0,1,0,216.66,1027.892857,1
KOR,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,13.03571429,1
DEU,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,6,5,4,2,1,0,26.10714286,1
GRK,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,6.464285714,1
JPN,Limited,INITIAL_PURCHASE,Web,119.5,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,119.5,26.10714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,216.66,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,153,13,5,7,3,216.66,1027.642857,4
ENG,Limited,INITIAL_PURCHASE,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,2,1,0,1,0,119,6.5,1
POL,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,34,0,0,0,0,35.97,3.285714286,1
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,9,8,0,3,0,35.97,19.53571429,1
ARA,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,41,0,0,0,0,79,6.535714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,182.48,USD,No,No,Off,Other,Other,Unknown,No,No,8,4,0,1,0,182.48,1027.535714,1
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,8,7,3,3,1,35.97,9.785714286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,77,1,1,1,1,0,1.107142857,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,13.07142857,1
ESP,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,6,5,0,1,0,79,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,1,0,1,0,199,1028.25,1
ALL,Lifetime,INITIAL_PURCHASE,Web,208.95,USD,No,No,Off,Other,Other,Unknown,No,No,15,13,10,2,1,208.95,1027.535714,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,0,6.464285714,4
JPN,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,3,0,0,0,0,35.97,3.285714286,1
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,3.178571429,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,26,1,0,1,0,0,3.321428571,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,24,0,0,0,0,0,6.535714286,1
ITA,Lifetime,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,0,1044.178571,4
ESP,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,38,0,0,0,0,79,6.535714286,1
FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,35.97,3.285714286,1
CHI,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,80,0,0,0,0,0,3.285714286,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,11,10,0,2,0,199,1027.785714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,200,47,8,40,4,189,1027.357143,2
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,6.5,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,5,1,0,1,0,0,3.285714286,1
RUS,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,3,0,0,0,0,79,9.821428571,1
ALL,Lifetime,INITIAL_PURCHASE,Web,208.95,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,208.95,1028.142857,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,31,0,0,0,0,0,13.03571429,4
ALL,Limited,INITIAL_PURCHASE,Web,117.93,USD,No,No,Off,Other,Other,Unknown,No,No,6,4,4,1,1,117.93,13.07142857,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,21,12,7,3,1,35.97,6.571428571,1
ESP,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,8,6,0,2,0,79,6.535714286,1
ESC,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,13.03571429,1
GRK,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,4,2,0,1,0,0,3.428571429,4
KOR,Limited,INITIAL_PURCHASE,Web,71.1,USD,No,No,Off,Other,Other,Unknown,No,No,41,0,0,0,0,71.1,3.285714286,1
LAT,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,2,0,0,0,0,0,13.07142857,1
